Start Station Key,Station Name,Station Geometry,Total_x,Total_y,diff,bike-out more than bike-in
121,Marshfield Ave & 44th St,POINT (-87.666589 41.813996),120.0,141.0,-21.0,False
122,Halsted St & 35th St,POINT (-87.647172 41.830661),982.0,1002.0,-20.0,False
123,Damen Ave & Pershing Rd,POINT (-87.676597 41.823192),517.0,506.0,11.0,True
124,Seeley Ave & Garfield Blvd,POINT (-87.675478 41.794087),94.0,87.0,7.0,True
125,Morgan St & Pershing Rd,POINT (-87.650931 41.823613),106.0,117.0,-11.0,False
126,Hoyne Ave & 47th St,POINT (-87.67718000000001 41.808227),181.0,217.0,-36.0,False
127,Wallace St & 35th St,POINT (-87.64129 41.83062899999999),1010.0,1063.0,-53.0,False
128,Ashland Ave & McDowell Ave,POINT (-87.66454 41.80887),163.0,162.0,1.0,True
129,Ashland Ave & 50th St,POINT (-87.664699 41.803023),93.0,107.0,-14.0,False
130,Ashland Ave & Pershing Rd,POINT (-87.665577 41.823465),210.0,198.0,12.0,True
131,Wood St & 35th St,POINT (-87.670298309 41.830104654),545.0,586.0,-41.0,False
132,Halsted St & 51st St,POINT (-87.645213904 41.80183164),82.0,93.0,-11.0,False
133,State St & Pershing Rd,POINT (-87.62656801799999 41.823015238),323.0,298.0,25.0,True
134,Shields Ave & 43rd St,POINT (-87.63481935 41.816207679),,28.0,,False
135,Halsted St & 47th Pl,POINT (-87.645616554 41.808133915),421.0,419.0,2.0,True
136,Princeton Ave & 47th St,POINT (-87.63344928799999 41.809317709),277.0,238.0,39.0,True
137,Leavitt St & Archer Ave,POINT (-87.68060445899999 41.82879202),483.0,536.0,-53.0,False
138,Eberhart Ave & 91st St,POINT (-87.611829489 41.729267142),84.0,83.0,1.0,True
139,Michigan Ave & 71st St,POINT (-87.621748 41.765286),71.0,92.0,-21.0,False
140,State St & 95th St,POINT (-87.62285440000001 41.7218499),67.0,51.0,16.0,True
141,Dauphin Ave & 87th St,POINT (-87.60125756299999 41.73655902300001),28.0,21.0,7.0,True
142,Greenwood Ave & 91st St,POINT (-87.59729862200001 41.728264268),19.0,24.0,-5.0,False
143,Stony Island Ave & 90th St,POINT (-87.585743666 41.73139494300001),23.0,23.0,0.0,False
144,Wabash Ave & 83rd St,POINT (-87.622849 41.743316),110.0,110.0,0.0,False
145,Ellis Ave & 83rd St,POINT (-87.599034 41.74412299999999),116.0,111.0,5.0,True
146,Wabash Ave & 87th St,POINT (-87.62263399999999 41.736646),178.0,200.0,-22.0,False
147,Vernon Ave & 79th St,POINT (-87.61379000000001 41.75094),92.0,88.0,4.0,True
148,MLK Jr Dr & 83rd St,POINT (-87.6148 41.743116),95.0,89.0,6.0,True
149,Cottage Grove Ave & 78th St,POINT (-87.605026 41.753174),201.0,199.0,2.0,True
150,Greenwood Ave & 79th St,POINT (-87.59755200000001 41.751294),155.0,186.0,-31.0,False
151,Vernon Ave & 75th St,POINT (-87.614138 41.758361),131.0,137.0,-6.0,False
152,Stony Island Ave & 82nd St,POINT (-87.586005 41.746559),159.0,149.0,10.0,True
