Start Station Key,Station Name,Station Geometry,Morning,Afternoon,Evening,Night
200,California Ave & North Ave,POINT (-87.6972 41.91044),567,1067,1158,119
201,Leavitt St & Armitage Ave,POINT (-87.68243699999999 41.917805),806,1131,1130,223
202,Campbell Ave & North Ave,POINT (-87.68955600000001 41.910535),877,1115,1131,226
203,Logan Blvd & Elston Ave,POINT (-87.684158 41.929465),643,1474,1224,102
204,Milwaukee Ave & Wabansia Ave,POINT (-87.681391 41.912616),1766,2722,2637,357
205,California Ave & Francis Pl (Temp),POINT (-87.69742280200001 41.918491154),655,867,840,185
206,Kosciuszko Park,POINT (-87.723777364 41.930585371),407,607,496,78
207,Campbell Ave & Fullerton Ave,POINT (-87.68930700600001 41.924632472),631,863,918,158
208,Spaulding Ave & Armitage Ave,POINT (-87.710220963 41.917108035),450,709,597,142
209,Humboldt Blvd & Armitage Ave,POINT (-87.701808955 41.917513394),727,1307,1248,251
210,St. Louis Ave & Fullerton Ave,POINT (-87.71449506299999 41.924815597),583,868,632,222
211,Richmond St & Diversey Ave,POINT (-87.70119513 41.931901969),311,578,472,69
212,Albany Ave & Bloomingdale Ave,POINT (-87.70512646200001 41.914026713),470,832,622,130
213,Dorchester Ave & 63rd St,POINT (-87.591415989 41.780405646),196,286,227,45
214,Lake Park Ave & 56th St,POINT (-87.58778199999999 41.793242),931,1182,1200,330
215,Shore Dr & 55th St,POINT (-87.580715 41.795212),2021,3276,3124,553
216,Rhodes Ave & 71st St,POINT (-87.611726 41.76600000000001),6,12,19,1
217,University Ave & 57th St,POINT (-87.599861 41.79147800000001),588,1876,1349,176
218,Cottage Grove Ave & 67th St,POINT (-87.60563486 41.773720952),61,99,58,7
219,Ellis Ave & 58th St,POINT (-87.60133399999999 41.788746),378,1387,700,44
220,Stony Island Ave & 64th St,POINT (-87.586647 41.778881),71,148,112,31
221,63rd St Beach,POINT (-87.57611976 41.781016372),542,814,678,57
222,Stony Island Ave & 71st St,POINT (-87.586460878 41.766492937),80,109,111,40
223,Ellis Ave & 55th St,POINT (-87.601449773 41.794300621),563,1005,791,153
224,Cottage Grove Ave & 63rd St,POINT (-87.60583609299999 41.780600945),73,155,118,55
225,DuSable Museum,POINT (-87.60785217700001 41.791568011),109,269,177,27
226,Eberhart Ave & 61st St,POINT (-87.61330783 41.784141693),132,139,106,24
227,Harper Ave & 59th St,POINT (-87.58831517 41.787942813),487,511,405,47
228,Ellis Ave & 60th St,POINT (-87.601072761 41.785097146),754,1295,917,196
229,MLK Jr Dr & 56th St,POINT (-87.615853262 41.79342945699999),86,135,103,16
230,MLK Jr Dr & 63rd St,POINT (-87.61594285700001 41.780080637),72,82,61,23
231,Museum of Science and Industry,POINT (-87.58394500899999 41.79172821),535,1305,826,101
233,Damen Ave & Clybourn Ave,POINT (-87.67785600000001 41.931931),560,1154,909,172
234,Clark St & Armitage Ave,POINT (-87.63628199999999 41.918306),4407,6177,6345,1423
235,Clark St & Drummond Pl,POINT (-87.644336 41.931248),2977,4751,4727,855
236,Clark St & North Ave,POINT (-87.63194200000001 41.911974),1745,3415,3347,646
237,Larrabee St & Webster Ave,POINT (-87.64414000000001 41.921822),3257,5389,6198,1063
238,Halsted St & Dickens Ave,POINT (-87.64883 41.919936),2024,3486,3458,641
239,Sedgwick St & Webster Ave,POINT (-87.63888799999999 41.922167),2113,2612,2619,585
240,Sheffield Ave & Wrightwood Ave,POINT (-87.65383299999999 41.928712),1643,3008,3893,1025
241,Racine Ave & Wrightwood Ave,POINT (-87.65897099999999 41.928887),1123,1381,1303,281
242,Wells St & Concord Ln,POINT (-87.63465600000001 41.912133),4081,6176,6928,1874
243,Lake Shore Dr & North Blvd,POINT (-87.62680400000001 41.911722),4129,8810,8554,979
244,Lincoln Ave & Fullerton Ave,POINT (-87.64926 41.925905),2743,4220,4760,852
245,Clifton Ave & Armitage Ave,POINT (-87.656936 41.91821599999999),1360,2057,2105,395
246,Halsted St & Wrightwood Ave,POINT (-87.64907700000001 41.929143),1778,3005,3664,857
247,Lincoln Ave & Diversey Pkwy,POINT (-87.65861700000001 41.932225),1900,2402,2653,539
248,Sedgwick St & North Ave,POINT (-87.638677 41.911386),2039,2560,2840,741
249,Southport Ave & Wrightwood Ave,POINT (-87.66391299999999 41.928773),1065,1675,2104,625
250,Lakeview Ave & Fullerton Pkwy,POINT (-87.63897299999999 41.92585800000001),3601,5238,5536,990
251,Lake Shore Dr & Diversey Pkwy,POINT (-87.636427 41.932588),3073,5355,6050,595
252,Theater on the Lake,POINT (-87.63083399999999 41.926277),3768,10695,9778,826
253,Bissell St & Armitage Ave,POINT (-87.65222 41.91844),2606,4089,4026,793
254,Ashland Ave & Wrightwood Ave,POINT (-87.66850699999999 41.92883),802,1344,1287,334
255,Halsted St & Willow St,POINT (-87.64875500000001 41.913865),1581,2014,2283,434
256,Sheffield Ave & Willow St,POINT (-87.652855 41.913688),1387,2785,2964,394
257,Larrabee St & Menomonee St,POINT (-87.64331999999999 41.91468),849,1100,1112,192
258,Sheffield Ave & Webster Ave,POINT (-87.653818 41.92154),1805,3076,3561,1084
259,Clark St & Wrightwood Ave,POINT (-87.643118 41.929546),3499,4622,4060,878
260,Stockton Dr & Wrightwood Ave,POINT (-87.63874200000001 41.93132),3204,4424,4861,596
261,Clark St & Lincoln Ave,POINT (-87.63460000000001 41.915689),4107,5719,6721,1337
262,Larrabee St & Armitage Ave,POINT (-87.643749 41.918084),1384,2131,2175,483
263,Greenview Ave & Fullerton Ave,POINT (-87.6658 41.92533),1156,2192,2156,511
264,Southport Ave & Clybourn Ave,POINT (-87.663712 41.920771),805,1454,1250,175
265,Wilton Ave & Diversey Pkwy,POINT (-87.65270500000001 41.932418),2090,2963,3205,827
266,Racine Ave & Fullerton Ave,POINT (-87.65840426 41.92556258),1399,2135,2101,527
267,Cannon Dr & Fullerton Ave,POINT (-87.634428785 41.926755988),1031,2580,2339,328
268,Winchester Ave & Elston Ave,POINT (-87.67646007499999 41.92409085),479,770,749,102
